trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,9,-38.68429950554063,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-70.36197194794575,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,2,-22.972301546967934,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,10,-16.948703339133715,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",35,0,-118.47899903210201,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,16,9.153296697153323,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,8,-101.42226130884036,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.631283645506926}",35,10,-120.98234513480817,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-15.799734639682242,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,4,-22.9218689695745,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,0,-2.005961214440064,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-13.716905694699332,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,12,-71.81545035742784,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-171.4518866923377,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",30,0,-81.16952156385484,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,10,-48.69374095189578,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-97.14508312110726,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,1,-142.9074655487201,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 3}",1
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,12,-1.0166891979060801,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.559898366565402}",20,3,-4.299311028214672,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,4,-57.62660800232155,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,6,-28.082855700867196,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,2,-48.09313017167691,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,1.7369829672325174,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,22,0.5759774307710503,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-160.60040537902233,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.522045776761016}",20,11,7.470266145225177,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,7,8.401304449566213,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,14,-35.8678609284453,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,9,-42.076104120752746,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",30,8,-24.804743298920037,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,2,-60.386646888022376,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,9,-40.59145097298143,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-7.617115455022294,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,5,-33.610529781426315,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,0,-47.837772960688454,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",30,9,-28.072759844622148,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-18.33542825621181,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",30,0,-14.350388066154782,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,0,-58.942037877836135,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,6,14.35319496508497,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,12,-52.51801196699307,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,10,-7.7039005215801275,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,11,-31.61402206201419,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",30,14,-48.631739047664965,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-24.78635776270762,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,0,15.394755362229386,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",30,6,10.503944651711869,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",25,18,8.757451779391126,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,14,-5.537880174193692,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,6,-21.979727686350344,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,12,15.20261155113036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",30,1,-2.50876272507883,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,9,21.765742750666952,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",30,0,-19.16045895827755,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,5,-5.815855684304025,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,6,1.0676331692447794,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
